Image Number,Center X,Center Y,StdDev Horizontal,Std Dev Vertical
0
59,93.33971469075367,218.50270598733297,0.6182377010412883,4.519603519601824
60,94.65266061580076,212.6177146123835,0.765212453826913,3.6739543947311417
61,95.41265351990087,214.21478810961165,1.1080389271434514,3.3611479966616367
62,177.68104319925217,221.8562022028197,1.210105165576976,2.7273751079265014
63,178.12474883940652,222.14572970009505,1.2756265672756038,2.657550420078367
64,177.98709471591388,224.6454307841806,1.232576692361491,4.55962144903764
65,262.5800156706123,202.10797896730915,3.9515122758252583,13.78987315189462
66,263.12260735580236,208.6888275933953,3.996672369259087,3.8323992242499187
67,263.2208458621908,207.81872361983278,4.431842546811981,4.012811725696324
73,273.4831703233573,203.64459660353015,7.04945617162013,7.94901069703423
74,273.07076432835294,204.06679372614934,6.89788799009703,8.626898083569905
75,272.1738130844689,203.78689920903042,7.135173768291136,8.947454341776009
77,351.28674760518,204.59842941618587,6.045106258240715,4.408743803212035
78,351.93164737416873,203.26383152358028,6.757744778249452,3.4138998666946025
79,351.51705628039196,203.5492416308136,6.8762860015843,3.019482596125626
80,311.4321457450739,203.50054128359008,6.239505058348041,5.6340319630028475
81,309.71370799855777,199.8072317333757,6.786112432854393,5.546655412414925
82,311.0912672829532,199.1202501566774,6.892343194786746,5.054703376541651
83,311.1638007195464,199.2269266475195,7.010045021779638,4.7578939104794555
84,131.25454150771196,252.74638995613617,4.531133252555627,6.22007738425752
85,130.00327880890623,253.73048027246645,5.394441049750279,5.395681634052309
86,129.22821068759833,257.7545799264177,5.279052334030264,7.778585552031296
87,129.85581048785428,254.17406429530502,5.674102333754549,5.78050786879303
88,173.6706310017366,256.75225947929334,5.866553313440161,5.378715368726579
89,173.19230063382054,252.91916601625073,6.879373651171615,3.4635068657166914
90,172.94503754837874,251.33290936706462,7.047271185711796,3.2903077685151048
91,175.02952167330142,257.0499364883758,5.235714833141598,4.602554026194267
92,213.7890816038331,254.6249053619213,6.707076930736432,3.4712358181628
93,213.4468844061598,254.50412813549863,6.518799611232329,3.278464480563131
94,212.79962250914713,255.43887452853883,6.766022500672822,2.705140416783796
95,215.7691494277275,256.0321075659609,11.50061919709342,2.706589746451831
96,256.7694241536286,253.44332189577563,6.865986829223564,3.232990348543302
97,256.72510650144056,252.79028393976105,6.828380413657813,2.603426429287444
98,256.8442650233618,253.14460283696363,6.821267955887984,3.254494004204524
99,256.9799728864509,253.50866793284385,6.8533044126794715,3.166075950840959
100,298.0833417924816,255.11218204520893,6.68748523503982,2.5312282089724154
101,298.2658386968296,255.0162251091937,6.972265462941957,2.391655492853278
102,298.07594362921077,254.9831987261273,6.694673144383624,2.446242469655284
103,298.1576505106038,253.88763222872188,6.715087554789903,3.885076107906952
104,337.3091830161018,251.4473414930906,6.239563573099407,3.9949672494208963
105,338.52343083029405,251.73143621714976,5.899400220598736,4.827509891673079
107,338.1840923615987,251.65216202919063,5.969934007979263,3.751028655396448
108,337.64939708910254,250.30336435438954,6.249968722123418,4.858284281787599
113,273.95099656515106,308.7034217127645,4.47709247898054,5.982967845021163
114,276.2427158717565,309.6243826995124,5.356119731482595,5.519574978016204
115,276.84469790647285,310.1401260519893,5.002026768143788,3.605341196767828
116,277.0444072504442,310.2242983789689,5.093238900500282,3.2415570106605673
117,320.1389402262641,311.63009189142485,4.939108050053555,5.410806300828905
118,320.02073795683015,309.86619068708495,5.027296431375431,8.060815849838507
119,320.1219104879224,311.65149736236003,5.012337784903855,4.875094660414595
120,320.07204598420145,309.7142498435185,5.096615721025626,7.995525189669432
121,361.50564549283087,313.53985202649335,4.795734938117528,4.058166847376938
122,361.26704674904295,312.86969370023394,4.911340820107842,5.091228854756303
123,361.2967353862394,312.27740018121676,5.035196497174981,5.584514630261738
124,361.10126473389414,312.0592776230653,4.783581913783201,5.306719192876605
125,443.007863468424,317.0482807576108,5.010510348067979,3.2746926716250857
126,440.19719004623624,315.5077064666447,2.501683625204251,5.638134747002355
127,440.39835940889833,315.5795170075373,2.85606034332895,5.721606221790266
128,441.67660517656856,316.6947608213303,3.639566862837229,4.302035563866815
129,480.016363698198,317.9126206681539,2.233190012581438,3.490216783801077
130,480.61644673663056,318.57621643309193,2.3716485330417605,4.382988558323238
131,480.2151199142978,317.2082517588217,2.247293593796934,3.5149416209558377
132,480.759709821911,316.6390215996198,1.8855815838100882,3.2368313913566618
133,9.357026815909922,301.1394481670515,7.424860692299219,3.8886973359748533
134,60.67253427636335,295.1565427193327,2.410669490697829,4.491297160618824
135,60.246223227743805,300.40587765988005,2.610803253456402,3.8238226248434817
136,59.58730981243586,299.348986354774,2.4093805788992184,3.557779220380588
137,101.23721185167861,297.1740950583595,3.1474540219144633,4.890082550289469
138,99.63203134966024,298.11971146106544,2.5218334720238236,4.231121185206979
139,95.14237458574763,297.9444005267218,2.877040509030959,4.1131387022222885
140,100.78477416100239,297.8704635718194,2.4143008563576176,4.154160490535302
141,119.7250471805502,298.01476664170673,2.715209640937237,3.093112605602225
142,117.02401243356974,298.35207687180383,3.08539437068056,3.0048819093528643
143,115.80692312962971,302.2766266204045,2.8382177918151514,5.138019098209974
144,117.37742445192025,299.4258416995056,3.1697222157479636,3.228779441784994
145,142.90918088465534,297.6178016264094,3.0832619899763425,3.60199958241714
146,143.99054736678715,297.3373199008806,2.9996657202962216,3.476044966382911
147,142.68589497073927,297.6157999040096,3.132429288120055,3.6266815665628562
148,140.49454000047197,298.03917216089854,3.0056568959849406,3.734214838274721
149,181.1180739987013,297.45610301892515,2.9102280695661635,3.430326706550376
150,179.8095562359686,297.27756454662233,3.021840744008918,3.4405430793578002
151,180.86813470943852,297.15918644525635,2.8691980137577318,3.454347921701997
152,181.2406356303146,297.2424283977706,2.9384917862774746,3.4319912000139534
153,186.63497292825323,329.71520796854617,1.8343875090418584,3.3743188292573
