Image Number,Center X,Center Y,StdDev Horizontal,Std Dev Vertical,
73,271.8260844,202.3394456,4.989389367,8.076149884,
74,271.8410755,202.8123375,5.31885568,8.053726527,
75,271.4096589,203.2728694,5.377230076,7.871267788,
77,349.9253798,206.1879045,4.582862379,3.702027552,
78,350.3296416,205.0583594,4.842890663,1.299663431,
79,350.0649697,202.2775243,5.79411775,1.942694674,
80,309.6366463,202.5052936,5.826833998,3.849897421,
81,304.2156432,197.8316841,5.835220622,4.295831468,
82,309.9442683,195.4976857,4.627150851,6.342731115,
83,309.7147295,197.0265133,5.058831189,5.889513251,
84,130.7344064,251.8116871,6.430453555,5.341680351,
85,129.1112752,251.1902156,6.008621382,4.323092999,
86,127.9831913,250.8210973,4.738368491,2.572218628,
87,130.1965719,252.2844149,7.110134504,5.09323269,
88,170.3002318,255.161434,5.690121369,4.700436401,
89,171.2585947,250.0133249,5.680641798,3.776527602,
90,172.1235758,251.6800326,6.2294994,4.20315816,
91,173.3400802,254.5386511,5.543590958,3.91363343,
92,213.2603045,252.3008681,2.335677624,2.872250524,
93,215.0902707,254.1583026,4.339354721,4.369371457,
94,211.9678785,254.1058558,4.275784379,4.46023842,
95,214.8368785,253.4169863,5.506727817,1.911466032,
96,256.517454,252.3881478,5.815407196,2.550431856,
97,255.6478728,251.9252364,6.11987315,2.152700053,
98,256.1374083,252.0516904,5.782654633,2.667395102,
99,257.7228752,252.1299079,5.335083237,2.128049929,
100,297.8311949,253.9653172,5.924725405,3.167204464,
101,297.5128414,253.9978911,5.638642622,2.746686532,
102,297.4725186,253.0521962,5.860286143,2.352795437,
103,297.3362522,254.4734242,5.715730646,2.516042898,
104,337.4351662,252.5457049,4.125562667,3.313965227,
105,337.8624427,251.5183513,4.989598867,3.12923061,
107,338.2193223,252.1032549,5.515561111,2.99820905,
108,336.3124802,250.2062703,4.716755758,6.491905854,
113,273.4054239,309.0245598,2.007529628,4.545176202,
114,275.7006,308.5897281,3.903782811,4.201910704,
115,275.6098701,308.5642409,4.631427944,3.639510738,
116,277.3921761,308.2813594,3.80169276,3.534953726,
117,293.8297693,310.7195738,1.521629374,4.613201387,
118,291.7659335,310.0988882,1.468614673,3.891663176,
119,309.4115342,310.3821357,1.182104119,4.505358982,
120,292.5515413,310.0542368,1.424775019,4.061589902,
121,347.8690582,312.263906,2.086860469,4.058200539,
122,359.5565312,310.5047441,2.330047253,3.638307358,
123,359.6470891,310.5270923,2.359429636,4.285573798,
124,361.5717357,311.4896921,2.501565545,3.082805746,
125,445.1246388,317.8559644,2.770881273,3.991135312,
126,416.7634163,315.3075299,1.770909628,5.747036063,
127,446.3346171,315.0196018,2.263014967,5.752920657,
128,442.282108,318.1603279,3.090257217,3.581681297,
129,478.5480048,315.9810021,1.765570954,2.41855109,
130,479.1318974,315.5731843,1.398148504,2.403118465,
131,478.6645006,316.3894294,1.795372838,2.422278886,
132,485.0663804,314.7146343,2.330786814,3.08044557,
133,87.59543272,294.7524772,7.59874341,3.091737517,
134,57.18983221,299.3908146,2.514015918,4.165559587,
135,57.04702337,296.9718239,2.857620858,3.649136041,
136,46.33616939,298.2861068,2.691730212,4.096440805,
137,100.69449,290.5774527,1.724170339,3.065422071,
138,159.3624208,292.72289,2.784165242,2.962548105,
139,353.4092013,292.0076334,3.014363498,2.92804335,
140,89.97636901,292.9113393,2.654947202,2.871927676,
141,122.0853563,297.6938028,0.685452566,3.352456383,
142,132.1553664,297.2171229,2.706901699,2.956878084,
143,127.1646194,298.2335745,2.769134247,4.011140387,
144,130.8707996,297.8983473,2.818953624,3.899711628,
145,150.2748279,296.4426353,2.72517508,3.718234377,
146,148.9487989,296.2260643,2.706792749,3.704570535,
147,150.1580396,295.8625463,2.810800537,2.960921611,
148,152.5470386,296.7976312,2.875415992,3.731793392,
149,178.2623154,295.1070469,1.566658642,2.765605075,
150,180.9716772,294.9012941,1.684242753,3.139648254,
151,182.3315967,293.1571828,1.88832792,2.268070032,
152,181.137088,293.5579351,1.671971687,2.330347328,
153,185.9711466,327.425234,1.691859372,2.387374111,
154,185.6800748,328.060633,2.609970862,1.94621952,
155,185.8166898,327.7405073,1.727258135,1.871705694,
156,186.4702702,327.2910587,1.608306647,1.866211656,
157,232.0471896,327.1305533,1.526798514,2.151252107,
158,229.4438949,328.3898306,1.156559873,2.225493584,
159,231.0122446,328.2692359,1.210844403,2.221420963,
160,244.7640449,328.8696047,1.374765582,1.935943501,
161,272.0799492,329.052411,1.166202217,1.28745393,
162,752.5860223,325.8625051,2.107359839,1.609035927,
163,272.5343254,328.9438388,1.464422622,2.480037038,
164,283.0401036,328.6492917,1.198989734,1.977731191,
165,314.9483725,330.5771118,0.672009898,1.622968038,
166,313.958339,330.6951411,1.098557555,3.125795977,
167,312.3748044,330.5081672,1.235648115,0.963304922,
168,312.8132723,330.7618727,1.348540765,1.93311836,
169,395.1307954,331.5074481,1.448023063,1.892084895,
170,378.9013814,331.4082092,1.792713799,3.432678443,
171,395.3009462,331.5620671,1.453176361,1.84090791,
172,396.6957515,331.684604,1.422416718,2.181389097,
173,172.4328077,153.1365897,3.00979225,3.273591347,
174,174.8689464,151.9590035,1.271482898,3.354743027,
175,173.7469032,152.0170272,2.992197181,3.587820476,
176,175.0489368,152.9142709,1.273711372,3.067651219,
177,220.2914705,153.9301722,2.661722075,5.161796303,
178,218.8061959,153.873329,2.751169022,5.214692401,
179,220.2111266,153.8301993,2.528867915,5.135768244,
180,221.0904806,153.6681136,1.36428459,5.195182563,
181,260.2185867,156.1774186,3.167143162,4.210885006,
182,276.9192779,155.752447,2.098877657,3.126639131,
183,260.0002443,154.9000065,3.142718258,2.746624899,
184,260.1158035,154.8963762,3.210429251,2.62793041,
185,298.167749,156.5262689,2.118650858,2.472370547,
186,303.7104855,155.0312339,2.739066062,3.598984306,
187,302.2662231,155.0201999,2.993547761,3.828128242,
188,168.6937164,157.3888805,0.989603153,4.043452094,
189,380.4478403,157.1834126,2.567599568,2.068498326,
190,385.0896758,157.6459315,3.558659095,2.667151842,
191,385.9717948,157.3015558,2.616974703,1.908230272,
192,379.9755719,157.0348278,2.624845194,2.4242362,
2,,,,,
59,92.80774775,223.3561377,0.63373947,3.204356685,
60,94.82990414,219.9054093,0.789060896,6.846135813,
61,90.4092595,220.1551552,0.922257111,6.838018548,
62,177.10956,218.9010373,1.390525166,2.749732073,
63,177.7445626,220.0664962,1.218558792,4.188825256,
64,177.3811761,221.4094598,1.295990619,3.612508185,
65,265.6878096,206.6551328,5.335870158,16.66971332,
66,273.1624412,205.5267621,2.216267652,3.574602068,
67,266.4284457,207.3593812,7.16312328,4.472335501,
73,280.9659797,202.1605676,1.654626712,5.681306637,
74,280.0193239,205.0374117,2.330531985,6.377333876,
75,280.9384725,204.351971,1.646830184,7.965623143,
77,354.887108,203.2393539,7.442012113,3.928986671,
78,355.1071844,201.8006435,7.656540481,5.190365035,
79,354.3451992,201.3442388,7.686501926,5.138973819,
80,289.243447,204.0055532,4.58144207,5.795627738,
81,302.5452164,202.0428129,8.253331974,4.651552993,
82,308.7167046,199.8020174,7.194696682,4.047995764,
83,308.8793972,199.482231,6.945358429,2.872448428,
84,131.9672656,247.4466899,3.076812196,3.459870992,
85,129.8883587,249.5830759,4.540042819,3.450294622,
86,128.1149268,253.652363,5.978168979,4.352921914,
87,128.537252,252.6585171,5.339963888,4.941548474,
88,174.7763496,255.8013916,5.728268852,3.498998329,
89,172.4531156,250.0851165,6.313071019,1.962531993,
90,171.3409715,247.6560238,6.581855503,1.831029569,
91,174.6659473,249.1824453,4.505611672,0.990903523,
92,212.1155467,257.1963349,6.711658598,2.240845082,
93,214.992281,253.3937445,4.95745259,3.977160866,
94,204.873601,255.8708178,2.120263764,3.169453436,
95,215.0833848,256.1212831,8.467407782,1.94734564,
96,255.92502,254.9921917,6.763112158,2.141438665,
97,256.1940783,254.3374307,6.713514562,2.121641996,
98,256.0021708,254.8322904,6.607905276,2.023401889,
99,256.0562427,254.8473944,6.760889792,2.566059289,
100,297.8613113,254.3084187,6.299358006,1.871267236,
101,297.5090684,254.1732975,7.403403204,1.825741321,
102,297.570531,254.484813,6.393439895,1.946205259,
103,298.2356864,254.3132468,6.191791543,2.014387656,
104,339.4930838,252.0286054,5.942208628,3.19529963,
105,339.8235924,252.7216561,5.056927498,3.013043648,
107,337.8947682,251.0496843,5.760272081,2.151022333,
108,339.5429906,250.0031284,5.812146409,5.287653171,
113,278.5304079,306.5030719,4.761955088,2.589866432,
114,276.3287806,311.8059975,5.162726712,5.347412476,
115,279.5195273,309.7197114,3.678439981,3.528386683,
116,277.8341863,310.7569919,3.685601883,4.736286987,
117,304.2455249,309.6986513,3.002773122,4.55528393,
118,302.5910518,310.8630341,3.1636375,4.959892925,
119,296.4299281,310.9683457,3.025514328,4.684284176,
120,303.1474392,308.7545195,3.172637676,6.51899129,
121,365.2154226,314.6041009,4.98222295,5.649531231,
122,341.3097453,313.954716,4.082311959,2.23304854,
123,341.7161701,313.5306694,3.968339357,2.174027249,
124,345.5257173,313.0220584,3.990163672,3.578776944,
125,469.1330131,315.0513307,4.437377537,2.47725153,
126,438.8511288,316.3709557,1.799887035,6.635379091,
127,437.9643787,316.8297365,2.404378501,6.796381593,
128,456.5949916,316.0343792,3.316370103,3.022194886,
129,478.3667044,317.5900476,1.477074747,2.534323472,
130,478.6797334,315.61719,1.885919089,3.697683958,
131,484.2348696,317.9951215,0.962093158,3.007330919,
132,484.1170489,316.4021371,2.002291195,2.919700186,
133,85.29652369,299.926705,7.827458514,3.937423663,
134,59.67047635,298.4471118,2.293779231,4.907606339,
135,55.46090118,296.1797692,2.475399962,2.485135918,
136,52.88374765,297.6242074,2.052251164,3.035605218,
137,102.2355224,295.6763876,1.22628138,4.920419862,
138,107.0183407,296.2388908,2.187701543,2.202721291,
139,108.9649908,296.1444929,2.302412374,2.209906061,
140,106.7279343,296.3701875,2.251034343,2.356004223,
141,120.9447868,299.1646936,2.931034996,1.870227654,
142,118.1973619,298.0334936,4.076098187,2.634668296,
143,117.626087,297.8252302,2.900494158,3.224708556,
144,119.861526,298.3571524,3.49398133,2.953550317,
145,145.9000645,294.3312061,3.803172414,2.403143838,
146,145.4214846,294.4868154,3.267697342,1.825315104,
147,145.7428138,294.1450033,3.987455312,2.437598704,
148,143.0284346,294.5618795,3.649189497,2.401468767,
149,185.8282608,298.0425231,1.272428277,3.643826725,
150,185.9498776,297.7664853,1.248367103,3.441098707,
151,185.6174834,297.1887106,1.024053665,3.507686463,
152,185.7795824,297.0711508,1.20747523,3.5087149,
153,194.1877708,330.071149,1.176771328,2.255752122,
154,189.2603762,329.3370618,1.370351835,2.119976972,
155,183.5303914,329.4293977,1.576418861,2.023661479,
156,183.3754904,329.9333334,1.585241848,2.049146037,
157,232.8780299,328.5197502,1.546698079,2.435561977,
158,255.3837334,327.39891,4.012448382,2.890275591,
159,205.5013925,329.9023819,1.958210827,3.923308113,
160,216.4453637,329.1893338,2.373852392,2.222571188,
161,277.1390123,330.8696438,2.264039169,2.174324696,
162,273.7246411,328.1831137,1.667751192,0.989783278,
163,322.3699595,329.7367532,1.852350787,1.37665533,
164,197.2500263,331.7884197,1.707784311,1.962322643,
165,301.3391123,330.7070529,2.05808286,1.699031874,
166,318.9940458,330.5262295,2.512905677,3.004133231,
167,285.6755255,330.6208442,2.005104058,1.510838797,
168,303.3766759,330.6890426,2.123836632,1.561502074,
169,399.4469649,332.5112476,3.236447147,1.345904021,
170,399.4479821,332.1869344,1.78598569,2.110197381,
171,399.5666501,332.7032035,3.319483494,1.271894754,
172,403.9857431,332.7091106,2.841535249,1.352866247,
173,272.0791472,152.2310031,3.137638063,3.319842322,
174,171.1803293,154.0741983,3.043033059,3.147961415,
175,172.5368551,153.5142165,4.048705698,2.906116814,
176,173.5537003,153.7359113,3.18246475,3.208562905,
177,220.452141,156.7383818,2.725644558,3.229124685,
178,219.9369118,157.0167193,2.929832633,4.337287441,
179,220.2700191,156.7580906,2.801366932,3.436425987,
180,220.212808,156.9960205,2.771416096,3.551997,
181,260.8297065,157.7245607,2.864867836,4.836641376,
182,299.4671643,156.5779657,3.042758034,4.175090355,
183,260.8703321,155.9495176,2.856985202,3.724198165,
184,261.1959859,157.7695767,2.671200412,2.608809478,
185,303.7898051,155.2967427,1.996466596,2.949035097,
186,312.0293319,157.0403841,2.517021055,4.306578124,
187,335.3153106,156.695305,2.879498971,4.237238691,
188,304.3482421,155.9405605,3.14362489,2.311963161,
189,386.0460662,157.1564715,3.503153843,3.344989582,
190,383.2598233,156.2541372,2.931096625,3.788089778,
191,385.0925047,156.6704184,2.621070632,3.280658801,
192,386.2252536,156.4378146,3.373862306,3.19857897,
